Sample_Name	Channel	Global_metrics	Metric	value
GSM8461135	red	BISULFITE CONVERSION II	BS Conversion II-3	8718
GSM8461135	red	BISULFITE CONVERSION II	BS Conversion II-4	7272
GSM8461135	red	EXTENSION	Extension (A)	26052
GSM8461135	red	EXTENSION	Extension (C)	932
GSM8461135	red	EXTENSION	Extension (G)	777
GSM8461135	red	EXTENSION	Extension (T)	25194
GSM8461135	red	HYBRIDIZATION	Hyb (High)	1752
GSM8461135	red	HYBRIDIZATION	Hyb (Low)	380
GSM8461135	red	HYBRIDIZATION	Hyb (Medium)	727
GSM8461135	red	NON-POLYMORPHIC	NP (A)	8694
GSM8461135	red	NON-POLYMORPHIC	NP (C)	669
GSM8461135	red	NON-POLYMORPHIC	NP (G)	509
GSM8461135	red	NON-POLYMORPHIC	NP (G) 1	538
GSM8461135	red	NON-POLYMORPHIC	NP (G) 2	775
GSM8461135	red	NON-POLYMORPHIC	NP (G) 3	581
GSM8461135	red	NON-POLYMORPHIC	NP (G) 4	373
GSM8461135	red	NON-POLYMORPHIC	NP (G) 5	484
GSM8461135	red	NON-POLYMORPHIC	NP (T)	11166
GSM8461135	red	SPECIFICITY I	GT Mismatch 1 (MM)	312
GSM8461135	red	SPECIFICITY I	GT Mismatch 1 (PM)	446
GSM8461135	red	SPECIFICITY I	GT Mismatch 2 (MM)	506
GSM8461135	red	SPECIFICITY I	GT Mismatch 2 (PM)	623
GSM8461135	red	SPECIFICITY I	GT Mismatch 3 (MM)	288
GSM8461135	red	SPECIFICITY I	GT Mismatch 3 (PM)	309
GSM8461135	red	SPECIFICITY I	GT Mismatch 4 (MM)	1167
GSM8461135	red	SPECIFICITY I	GT Mismatch 4 (PM)	12707
GSM8461135	red	SPECIFICITY I	GT Mismatch 5 (MM)	473
GSM8461135	red	SPECIFICITY I	GT Mismatch 5 (PM)	7060
GSM8461135	red	SPECIFICITY I	GT Mismatch 6 (MM)	394
GSM8461135	red	SPECIFICITY I	GT Mismatch 6 (PM)	2779
GSM8461135	red	SPECIFICITY II	Specificity 1	13374
GSM8461135	red	SPECIFICITY II	Specificity 2	8431
GSM8461135	red	SPECIFICITY II	Specificity 3	8546
GSM8461135	red	STAINING	Biotin (Bkg)	592
GSM8461135	red	STAINING	Biotin (High)	377
GSM8461135	red	STAINING	Biotin(5K)	NA
GSM8461135	red	STAINING	DNP (Bkg)	487
GSM8461135	red	STAINING	DNP (High)	23145
GSM8461135	red	STAINING	DNP(20K)	NA
GSM8461135	red	TARGET REMOVAL	Target Removal 1	1164
GSM8461135	red	TARGET REMOVAL	Target Removal 2	1043
GSM8461136	green	BISULFITE CONVERSION I	BS Conversion I-C1	3080
GSM8461136	green	BISULFITE CONVERSION I	BS Conversion I-C2	6505
GSM8461136	green	BISULFITE CONVERSION I	BS Conversion I-C3	285
GSM8461136	green	BISULFITE CONVERSION I	BS Conversion I-C4	326
GSM8461136	green	BISULFITE CONVERSION I	BS Conversion I-C5	279
GSM8461136	green	BISULFITE CONVERSION I	BS Conversion I-U1	273
GSM8461136	green	BISULFITE CONVERSION I	BS Conversion I-U2	406
GSM8461136	green	BISULFITE CONVERSION I	BS Conversion I-U3	190
GSM8461136	green	BISULFITE CONVERSION I	BS Conversion I-U4	232
GSM8461136	green	BISULFITE CONVERSION I	BS Conversion I-U5	417
GSM8461136	green	BISULFITE CONVERSION II	BS Conversion II-1	549
GSM8461136	green	BISULFITE CONVERSION II	BS Conversion II-2	287
GSM8461136	green	BISULFITE CONVERSION II	BS Conversion II-3	1071
GSM8461136	green	BISULFITE CONVERSION II	BS Conversion II-4	738
GSM8461136	green	EXTENSION	Extension (A)	588
GSM8461136	green	EXTENSION	Extension (C)	25476
GSM8461136	green	EXTENSION	Extension (G)	21947
GSM8461136	green	EXTENSION	Extension (T)	449
GSM8461136	green	HYBRIDIZATION	Hyb (High)	24564
GSM8461136	green	HYBRIDIZATION	Hyb (Low)	7519
GSM8461136	green	HYBRIDIZATION	Hyb (Medium)	14227
GSM8461136	green	NON-POLYMORPHIC	NP (A)	603
GSM8461136	green	NON-POLYMORPHIC	NP (C)	3947
GSM8461136	green	NON-POLYMORPHIC	NP (G)	2921
GSM8461136	green	NON-POLYMORPHIC	NP (G) 1	538
GSM8461136	green	NON-POLYMORPHIC	NP (G) 2	650
GSM8461136	green	NON-POLYMORPHIC	NP (G) 3	427
GSM8461136	green	NON-POLYMORPHIC	NP (G) 4	329
GSM8461136	green	NON-POLYMORPHIC	NP (G) 5	306
GSM8461136	green	NON-POLYMORPHIC	NP (T)	495
GSM8461136	green	RESTORATION	Restore	22905
GSM8461136	green	SPECIFICITY I	GT Mismatch 1 (MM)	202
GSM8461136	green	SPECIFICITY I	GT Mismatch 1 (PM)	1813
GSM8461136	green	SPECIFICITY I	GT Mismatch 2 (MM)	186
GSM8461136	green	SPECIFICITY I	GT Mismatch 2 (PM)	3585
GSM8461136	green	SPECIFICITY I	GT Mismatch 3 (MM)	271
GSM8461136	green	SPECIFICITY I	GT Mismatch 3 (PM)	1068
GSM8461136	green	SPECIFICITY I	GT Mismatch 4 (MM)	277
GSM8461136	green	SPECIFICITY I	GT Mismatch 4 (PM)	544
GSM8461136	green	SPECIFICITY I	GT Mismatch 5 (MM)	248
GSM8461136	green	SPECIFICITY I	GT Mismatch 5 (PM)	315
GSM8461136	green	SPECIFICITY I	GT Mismatch 6 (MM)	254
GSM8461136	green	SPECIFICITY I	GT Mismatch 6 (PM)	236
GSM8461136	green	SPECIFICITY II	Specificity 1	463
GSM8461136	green	SPECIFICITY II	Specificity 2	326
GSM8461136	green	SPECIFICITY II	Specificity 3	278
GSM8461136	green	STAINING	Biotin (Bkg)	250
GSM8461136	green	STAINING	Biotin (High)	25896
GSM8461136	green	STAINING	Biotin(5K)	NA
GSM8461136	green	STAINING	DNP (Bkg)	544
GSM8461136	green	STAINING	DNP (High)	260
GSM8461136	green	STAINING	DNP(20K)	NA
GSM8461136	green	TARGET REMOVAL	Target Removal 1	464
GSM8461136	green	TARGET REMOVAL	Target Removal 2	601
GSM8461136	red	BISULFITE CONVERSION I	BS Conversion I-C1	302
GSM8461136	red	BISULFITE CONVERSION I	BS Conversion I-C2	752
GSM8461136	red	BISULFITE CONVERSION I	BS Conversion I-C3	7360
GSM8461136	red	BISULFITE CONVERSION I	BS Conversion I-C4	7545
GSM8461136	red	BISULFITE CONVERSION I	BS Conversion I-C5	6989
GSM8461136	red	BISULFITE CONVERSION I	BS Conversion I-U1	371
GSM8461136	red	BISULFITE CONVERSION I	BS Conversion I-U2	475
GSM8461136	red	BISULFITE CONVERSION I	BS Conversion I-U3	532
GSM8461136	red	BISULFITE CONVERSION I	BS Conversion I-U4	1250
GSM8461136	red	BISULFITE CONVERSION I	BS Conversion I-U5	860
GSM8461136	red	BISULFITE CONVERSION II	BS Conversion II-1	6223
GSM8461136	red	BISULFITE CONVERSION II	BS Conversion II-2	3526
GSM8461136	red	BISULFITE CONVERSION II	BS Conversion II-3	8620
GSM8461136	red	BISULFITE CONVERSION II	BS Conversion II-4	8872
GSM8461136	red	EXTENSION	Extension (A)	31519
GSM8461136	red	EXTENSION	Extension (C)	1144
GSM8461136	red	EXTENSION	Extension (G)	1099
