Sample	DetectionRate	Log2MethIntensity	Log2UnmethIntensity	Restoration	Staining_Green	Staining_Red	Extension_Green	Extension_Red	Hybridization_High/Medium	Hybridization_Medium/Low	Target_Removal_1	Target_Removal_2	Bisulfite_Conversion_I_Green	Bisulfite_Conversion_I_Green_(Bkg)	Bisulfite_Conversion_I_Red	Bisulfite_Conversion_I_Red_(Bkg)	Bisulfite_Conversion_II	Bisulfite_Conversion_II_(Bkg)	Specificity_I_Green	Specificity_I_Red	Specificity_II	Specificity_II_(Bkg)	Non-polymorphic_Green	Non-polymorphic_Red
GSM8461167_208066090043_R02C01	0.9998	11.274	11.407	3.5771235817234	106.26618705036	105.716049382716	46.3869731800766	32.281954887218	1.6872852233677	2.0125512295082	19.5269461077844	12.6395348837209	12.1538461538462	5.57435897435897	3.42193486590038	1.69157088122605	5.08766564729867	3.32415902140673	12.0833333333333	4.3494917904613	23.3226744186047	9.4796511627907	10.965844402277	16.4225806451613
GSM8461168_208066090043_R03C01	0.9996	11.772	11.166	3.90489213005166	91.1785714285714	113.590909090909	42.3642611683849	34.867816091954	1.69962423673086	2.01848779331595	21.0961538461538	12.7558139534884	12.464347826087	5.72347826086957	3.82950367647059	1.61856617647059	5.06299212598425	2.87926509186352	15.3157894736842	4.78175895765472	25.7650793650794	10.447619047619	11.2254733218589	20.9685658153242
GSM8461169_208066090043_R04C01	0.9997	11.669	11.394	4.04022646007151	96.6914285714286	91.4226804123711	38.1797752808989	30.6414790996785	1.61701907131012	2.05538985939497	14.2808510638298	11.9857142857143	9.06872037914692	3.97630331753555	3.85528523489933	1.51929530201342	4.85872138910813	2.64877663772691	9.356	4.01098146877145	22.3689839572192	8.97326203208556	9.28730822873082	18.717206132879
GSM8461170_208066090043_R05C01	0.9997	11.4	11.648	4.40470446320869	111.994011976048	79.9956896551724	49.0949367088608	36.9611650485437	1.71566918458261	1.93081525804039	15.4953271028037	10.9078947368421	9.21501706484642	3.77246871444824	3.90246406570842	1.80441478439425	5.11370967741935	2.6741935483871	8.50684931506849	3.59179104477612	20.9064935064935	8.61298701298701	11.1750788643533	16.104
GSM8461171_208066090043_R06C01	0.9992	11.64	10.88	4.44618568894145	101.21164021164	65.6687898089172	43.0392670157068	35.2747440273038	1.68297775760327	2.06428035982009	19.1073446327684	10.8397435897436	8.94781553398058	4.10436893203883	6.28038067349927	2.62518301610542	7.48987463837994	3.26133076181292	9.49489795918367	3.68367346938776	15.4748358862144	7.40043763676149	9.36084142394822	20.0252427184466
GSM8461172_208066090043_R07C01	0.9996	11.524	11.527	4.3417537746806	119.493975903614	69.9343065693431	37.6261261261261	36.3690036900369	1.67763986328476	2.19506416584403	15.9444444444444	11.916955017301	10.6233243967828	4.61662198391421	4.38677536231884	1.60416666666667	5.96080066722269	2.87239366138449	7.36666666666667	3.22188995215311	15.9875776397516	7.1304347826087	10.9654135338346	17.5913461538462
GSM8461173_208066090043_R08C01	0.998	10.483	10.329	4.5	154.269503546099	93.7587719298246	44.6468926553672	39.1347905282332	2.07804202262757	2.15687250996016	20.3272727272727	18.6333333333333	10.5946502057613	6.90123456790123	9.71868583162218	7.28747433264887	6.37068965517241	5.78275862068966	5.48351648351648	6.29903536977492	15.9030837004405	14.7753303964758	9.74468085106383	20.216577540107
GSM8461174_208066090053_R01C01	0.9991	11.171	11.306	3.6579594345421	103.347305389222	103.259668508287	52.1771653543307	30.9312080536913	1.72742705570292	1.92858604460814	15.9509803921569	13.5020746887967	10.4364723467862	4.86397608370703	6.40811965811966	2.56125356125356	6.24903225806452	4.19870967741935	17.1833333333333	4.50951847704367	33.4633204633205	12.5637065637066	15.8715365239295	14.9747048903879
GSM8461175_208066090053_R02C01	0.9987	10.852	10.541	4.15132178669098	137.244444444444	102.155963302752	49.46735395189	30.091922005571	1.74945284993815	1.94072022160665	15.0963302752294	12.0992647058824	10.808	6.582	9.82789651293588	4.1822272215973	9.47460317460317	5.22380952380952	8.66101694915254	3.24388032638259	28.7631578947368	14.4342105263158	11.3057644110276	24.7707182320442
GSM8461176_208066090053_R03C01	0.9986	10.425	9.864	4.37865541151643	133.214285714286	60.1687041564792	51.205047318612	30.6600790513834	1.69790295691849	1.97179930795848	13.2151394422311	10.8754098360656	15.9328621908127	11.7208480565371	10.104134762634	5.75650842266462	9.40787119856887	5.93381037567084	5.13636363636364	3.37749546279492	15.35960591133	16.3399014778325	9.84493670886076	16.9907975460123
GSM8461177_208066090053_R04C01	0.9988	10.255	10.264	4.44592547712814	135.87898089172	79.6504854368932	55.3322259136213	32.3931847968545	1.68234707446809	2.01980862850428	12.3171641791045	10.1257668711656	9.60559796437659	8.39949109414758	10.9873417721519	6.80470162748644	5.4923339011925	5.62350936967632	4.68589743589744	2.78757225433526	25.3287037037037	15.2824074074074	8.32865168539326	15.4587912087912
GSM8461178_208066090053_R05C01	0.9987	10.17	9.757	4.56107099879663	129.650306748466	62.9953271028037	51.8888888888889	30.3620488940629	1.69643152155956	1.94692827275651	12.9338521400778	9.60693641618497	13.0555555555556	11.5416666666667	11.1270588235294	9.08	10.2847826086957	7.22608695652174	4.0625	3.37270875763747	17.8064516129032	17.8709677419355	6.61612903225806	15.7384196185286
GSM8461179_208066090053_R06C01	0.999	10.419	10.6	4.40769460184909	128.09375	70.6944444444444	47.5949008498584	30.2344665885111	1.66677564364528	1.99267100977199	13.2529644268775	9.31388888888889	12.2754820936639	9.23691460055096	9.30460624071323	5.72511144130758	8.21769911504425	5.93451327433628	7.528	3.46617647058824	28.7260869565217	14.5782608695652	11.8787878787879	17.925
GSM8461180_208066090053_R07C01	0.9996	11.752	11.602	4.67746686303387	126.433121019108	93.4615384615385	42.5493670886076	31.5706874189364	1.74236465567735	1.98126657824934	11.9122807017544	10.4141104294479	11.4520547945205	4.22789539227895	5.24323062558357	1.76050420168067	6.43840271877655	2.88445199660153	10.6256157635468	4.28661527680448	32.0542857142857	9.7	11.7189952904239	21.3410981697171
GSM8461181_208066090053_R08C01	0.9982	9.901	9.695	4.59110473457676	133.055900621118	90.6433333333333	37.119587628866	30.1955193482688	1.70094641925628	2.12024016432296	15.2850877192982	12.8125	13.2857142857143	11.578073089701	8.43767705382436	5.64022662889518	6.5929203539823	7.71017699115044	3.70344827586207	2.89816700610998	14.8242424242424	21.1212121212121	9.84320557491289	20.8969465648855
